[INFO ] 2017-10-07 11:51:39,530 CS425.MemberGroup.class main: CS425_MP2 log file has been created! 
[INFO ] 2017-10-07 11:51:48,351 CS425.MemberGroup.class main: The membershiplist is empty now, please join the group first! 
[ERROR] 2017-10-07 11:51:52,095 CS425.MemberGroup.class main: java.net.UnknownHostException: 123.456.789.111: nodename nor servname provided, or not known 
[INFO ] 2017-10-07 13:16:16,837 CS425.MemberGroup.class main: CS425_MP2 log file has been created! 
[INFO ] 2017-10-07 13:16:24,392 CS425.MemberGroup.class main: wrong operation!  please input membership, id, join or leave! 
[INFO ] 2017-10-07 13:16:41,730 CS425.MemberGroup.class main: The member 10.194.193.97 1507400176741is viewing its id. 
[INFO ] 2017-10-07 13:19:37,947 CS425.MemberGroup.class main: CS425_MP2 log file has been created! 
[INFO ] 2017-10-07 13:19:41,810 CS425.MemberGroup.class main: The member 10.194.193.97 1507400377874is viewing its id. 
[INFO ] 2017-10-07 13:20:13,166 CS425.MemberGroup.class main: Start the listening thread 
[INFO ] 2017-10-07 13:20:13,169 CS425.MemberGroup.class main: Add the node into local membership list. 
[INFO ] 2017-10-07 13:20:13,172 CS425.MemberGroup.class main: Primary introducer send join request to potential introducers: 127.0.0.1 
[ERROR] 2017-10-07 13:20:13,182 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[INFO ] 2017-10-07 13:20:13,222 CS425.MemberGroup.class main: Primary introducer send join request to potential introducers: 127.0.0.1 
[INFO ] 2017-10-07 13:20:13,222 CS425.MemberGroup.class main: Primary introducer send join request to potential introducers: 127.0.0.1 
[INFO ] 2017-10-07 13:20:13,222 CS425.MemberGroup.class main: Primary introducer send join request to potential introducers: 127.0.0.1 
[INFO ] 2017-10-07 13:20:13,228 CS425.MemberGroup.class main: Start the failure detection thread. 
[INFO ] 2017-10-07 13:20:13,233 CS425.MemberGroup.class main: Start the heartbeat sending thread 
[INFO ] 2017-10-07 13:24:50,020 CS425.MemberGroup.class main: CS425_MP2 log file has been created! 
[INFO ] 2017-10-07 13:24:53,567 CS425.MemberGroup.class main: Start the listening thread 
[INFO ] 2017-10-07 13:24:53,569 CS425.MemberGroup.class main: Add the node into local membership list. 
[INFO ] 2017-10-07 13:24:53,572 CS425.MemberGroup.class main: Primary introducer send join request to potential introducers: 127.0.0.1 
[INFO ] 2017-10-07 13:24:53,600 CS425.MemberGroup.class main: Primary introducer send join request to potential introducers: 127.0.0.1 
